i1_1_v2,i1_2_v2,i1_3_v2,i1_4_v2,i1_5_v2,i1_6_v2,i1_7_v2,i1_8_v2,i1_9_v2,i1_10_v2,i1_11_v2,i1_12_v2,i1_13_v2,i1_14_v2
4,4,4,4,4,4,3,4,4,4,4,4,4,3
3,3,3,2,3,3,3,3,3,4,3,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,3,4,3,4,4,4,4,4,3,3,4
4,2,4,2,4,3,3,4,3,4,2,4,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,2,4,4,4,4,4,4,2
4,4,4,3,4,3,3,4,4,4,3,4,3,3
4,4,4,3,4,3,3,4,3,4,4,4,3,3
4,3,4,3,4,4,4,4,3,4,4,4,4,4
4,4,4,4,4,4,1,4,4,4,4,4,4,1
4,4,4,4,4,4,3,3,3,3,3,3,3,3
4,3,3,3,4,3,2,3,3,3,3,4,3,2
3,3,3,3,3,3,3,3,3,3,3,4,3,3
3,3,3,3,3,3,2,4,4,4,4,3,3,2
4,3,4,4,4,4,4,4,4,4,3,4,3,3
3,3,3,4,4,4,2,4,3,4,4,3,3,2
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,3,4,4,4,4,4,4,4,4,4,4,4,4
