JulianDate	X	Y	Z	VX	VY	VZ
2455197.5	-26892559.465634	145161815.368985	-2589.70888246596	-29.7840575171902	-5.4511372251846	0.00155155701701926
2455198.5	-29461714.3819091	144668473.884196	-2454.51465317607	-29.6857137282719	-5.96856024926051	0.00156453988587213
2455199.5	-32022006.487671	144130489.42116	-2321.64788582176	-29.5788843232702	-6.48454889918548	0.00149824857626024
2455200.5	-34572697.5948042	143547984.312201	-2197.69137942046	-29.463442354612	-6.99912953730269	0.00136016690520613
2455201.5	-37113036.3430217	142921081.660427	-2088.27519281209	-29.3392159991876	-7.51225529055647	0.00116442302395958
2455202.5	-39642255.9239668	142249912.042759	-1997.62858710438	-29.2060252801976	-8.02380086166807	0.000928785454790138
2455203.5	-42159574.7231199	141534619.853808	-1928.39641917497	-29.0637112504972	-8.53357467468822	0.000671732328059171
2455204.5	-44664198.9261584	140775368.193266	-1881.67418213189	-28.912152037708	-9.04133877353935	0.000410397797836026
2455205.5	-47155325.9816503	139972342.018065	-1857.17519588023	-28.7512672738258	-9.54682800833906	0.000159546313172054
2455206.5	-49632148.1119045	139125749.834578	-1853.45090766996	-28.5810156166446	-10.0497643069555	-6.86921091785919e-05
2455207.5	-52093855.476016	138235824.39586	-1868.11457432061	-28.4013897853742	-10.5498655743959	-0.000264692630314478
2455208.5	-54539638.9003634	137302822.813104	-1898.04735361785	-28.212411806543	-11.0468506585489	-0.000421093235861925
2455209.5	-56968692.2485732	136327026.342065	-1939.58431687951	-28.0141294790343	-11.5404421879997	-0.000532586467119955
2455210.5	-59380214.5381137	135308739.964267	-1988.68560903519	-27.8066139729655	-12.0303686595782	-0.000595783541789352
2455211.5	-61773411.8786418	134248291.792394	-2041.09820806235	-27.5899579979114	-12.5163664831795	-0.000609125452854187
2455212.5	-64147499.2550894	133146032.295361	-2092.51034600288	-27.3642739604743	-12.9981820887214	-0.000572794315274905
2455213.5	-66501702.1385655	132002333.347835	-2138.69689272344	-27.1296917996314	-13.4755738198234	-0.000488588899245634
2455214.5	-68835257.8972288	130817587.139142	-2175.65206404775	-26.8863565615769	-13.9483132386816	-0.000359757336982902
2455215.5	-71147416.9991922	129592205.003817	-2199.70664317161	-26.6344260925021	-14.4161856216857	-0.000190812576876809
2455216.5	-73437444.0400826	128326616.242061	-2207.63022604585	-26.3740693759338	-14.878989744816	1.26204503452243e-05
2455217.5	-75704618.6722124	127021266.97385	-2196.72365688533	-26.105465979318	-15.3365374268491	0.000243870207849106
2455218.5	-77948236.5425733	125676619.015372	-2164.91125871241	-25.8288068147021	-15.7886536239158	0.000495152558756651
2455219.5	-80167610.3468694	124293148.687347	-2110.84507163614	-25.54429597843	-16.2351780926098	0.000757360272499064
2455220.5	-82362071.0606295	122871345.372928	-2034.03233649582	-25.2521528016742	-16.6759696932047	0.00101974793277648
2455221.5	-84530969.298182	121411709.558886	-1934.99068437517	-24.9526123918241	-17.1109141289183	0.00126963479131081
2455222.5	-86673676.5598061	119914750.058966	-1815.42018134147	-24.6459219837055	-17.5399349879501	0.00149236145429388
2455223.5	-88789585.8654546	118380980.206522	-1678.35587994009	-24.3323298605979	-17.9630059828414	0.00167184885966876
2455224.5	-90878111.0195155	116810913.109336	-1528.23263471574	-24.0120645879785	-18.3801593073959	0.00179211996623962
2455225.5	-92938683.6998128	115205056.622248	-1370.7711834237	-23.6853061840543	-18.791482448331	0.00183989337284984
2455226.5	-94970747.9778138	113563909.352454	-1212.60878247023	-23.3521574353423	-19.1970967565188	0.00180775758998486
2455227.5	-96973752.8486899	111887959.322465	-1060.67155876756	-23.0126288918961	-19.597118379553	0.00169673656528957
2455228.5	-98947144.4906444	110177686.380061	-921.401797682047	-22.6666487016971	-19.9916134080095	0.00151689556984369
2455229.5	-100890360.47543	108433568.074811	-800.041474670172	-22.3140965645418	-20.3805654281302	0.00128545653804757
2455230.5	-102802827.481782	106656087.307979	-700.161465235054	-21.9548478303255	-20.7638679165376	0.00102322545297895
2455231.5	-104683962.607644	104845739.567014	-623.516170762479	-21.5888101611557	-21.1413400997396	0.000750896650771438
2455232.5	-106533177.129568	103003038.184426	-570.174930043519	-21.215942806764	-21.5127545097058	0.000486478484037711
2455233.5	-108349881.17056	101128517.178416	-538.811626210809	-20.8362591673675	-21.8778636890458	0.000244191845681918
2455234.5	-110133488.09953	99222732.0964626	-527.036961682141	-20.449819283794	-22.2364191178865	3.44940287444473e-05
2455235.5	-111883418.10241	97286259.6107838	-531.700480334461	-20.0567191439159	-22.5881813758821	-0.000135335155482252
2455236.5	-113599100.859017	95319696.5391321	-549.134562462568	-19.6570811592985	-22.9329237707849	-0.000260493967711994
2455237.5	-115279977.517067	93323658.7278589	-575.342565700412	-19.2510475328809	-23.2704323583328	-0.000338090062118823
2455238.5	-116925502.222948	91298780.0012063	-606.146766111255	-18.8387765476618	-23.6005047088435	-0.000366781815522188
2455239.5	-118535143.432067	89245711.2151752	-637.313965655863	-18.4204410186961	-23.9229488947148	-0.000346612144767278
2455240.5	-120108385.143775	87165119.3620564	-664.672909975052	-17.9962279339894	-24.2375833904095	-0.000278973147910477
2455241.5	-121644728.124151	85057686.638729	-684.231679320335	-17.566338404037	-24.5442379906424	-0.000166629114524142
2455242.5	-123143691.114415	82924109.4007439	-692.297286342829	-17.1309873049077	-24.8427554684434	-1.37360142193899e-05
2455243.5	-124604811.984438	80765096.9573846	-685.595357250422	-16.690402351188	-25.132993519547	0.000174179711617484
2455244.5	-126027648.783514	78581370.201776	-661.385901574045	-16.2448226838251	-25.4148265826598	0.000390288824450025
2455245.5	-127411780.659418	76373660.09648	-617.571958564222	-15.7944972981135	-25.6881473633988	0.000626551007860243
2455246.5	-128756808.648187	74142706.0349916	-552.800596106797	-15.3396836728779	-25.9528682449288	0.00087379395686682
2455247.5	-130062356.360575	71889254.0681263	-466.558740403503	-14.8806467405665	-26.2089231167593	0.00112175122350422
2455248.5	-131328070.584387	69614054.9282503	-359.267489768565	-14.4176578623644	-26.4562703492049	0.00135906476804948
2455249.5	-132553621.764886	67317861.7236342	-232.375598087907	-13.9509928006927	-26.6948975233904	0.00157331908633296
2455250.5	-133738704.206716	65001427.14504	-88.4436467215419	-13.4809269592921	-26.9248279031969	0.00175125431586487
2455251.5	-134883035.668704	62665500.0794819	68.8058044053614	-13.0077257310856	-27.146127312648	0.00187938241127483
2455252.5	-135986355.849249	60310821.7245034	234.517557095736	-12.5316283283709	-27.3589080782166	0.00194524541465668
2455253.5	-137048423.206638	57938121.6750117	402.874022960663	-12.0528258570622	-27.56332473921	0.0019394103535717
2455254.5	-138069009.806511	55548114.9363481	567.46116681397	-11.5714388924135	-27.7595562070837	0.00185791276144975
2455255.5	-139047894.557736	53141501.129657	721.837302200496	-11.0875044965927	-27.9477732999221	0.00170433358683475
2455256.5	-139984856.12165	50718966.9019989	860.225485086441	-10.6009829798737	-28.128099028525	0.00149040870100237
2455257.5	-140879667.40234	48281191.5585607	978.167155705392	-10.1117872069541	-28.3005764518378	0.0012344853945887
2455258.5	-141732093.246141	45828854.6200633	1072.95889545046	-9.61982511629701	-28.4651578732448	0.000958206623977276
2455259.5	-142541891.789141	43362643.2327084	1143.7722333055	-9.12503884967868	-28.621718422557	0.000682747708260933
2455260.5	-143308818.538053	40883257.6490877	1191.48071853071	-8.62742753597639	-28.7700849301504	0.000425985770618809
2455261.5	-144032631.583859	38391414.0483388	1218.30874533951	-8.12705117609794	-28.9100665279802	0.000201230070077329
2455262.5	-144713096.529723	35887845.007044	1227.43264614791	-7.62402149750477	-29.0414774169114	1.7301990988372e-05
2455263.5	-145349990.362409	33373298.4616073	1222.62534361891	-7.11848789363022	-29.1641490585294	-0.00012064443482096
2455264.5	-145943104.122146	30848536.0121673	1207.98277379759	-6.61062438043249	-29.2779337683366	-0.000210127128688953
2455265.5	-146492244.59716	28314331.1607769	1187.73085285909	-6.10062028130268	-29.3827032319289	-0.000250503335175623
2455266.5	-146997235.393722	25771467.7818667	1166.09222856723	-5.58867502367874	-29.4783450471143	-0.00024242607655367
2455267.5	-147457917.708881	23220738.8981901	1147.18731168657	-5.07499628626478	-29.5647593723605	-0.000187587190112026
2455268.5	-147874151.04749	20662945.6974056	1134.9472509427	-4.55980036697536	-29.641856837899	-8.86849719687888e-05
2455269.5	-148245814.025546	18098896.6549793	1133.02296207007	-4.0433136301095	-29.7095582122002	5.04666128726683e-05
2455270.5	-148572805.307809	15529406.6078121	1144.6817358965	-3.52577401160364	-29.7677958477092	0.000224773815382662
2455271.5	-148855044.64738	12955295.6369748	1172.69022931065	-3.00743175675106	-29.8165165735402	0.000427724324222112
2455272.5	-149092473.935076	10377387.658613	1219.18892882252	-2.48854884694505	-29.8556854450748	0.000651337198686264
2455273.5	-149285058.134617	7796508.67908132	1285.56752280798	-1.9693969306318	-29.8852896517618	0.000886237165101278
2455274.5	-149432785.979463	5213484.72810183	1372.35227071913	-1.45025392705983	-29.9053419816468	0.00112185583478563
2455275.5	-149535670.332265	2629139.52428174	1479.11544631654	-0.93139967987078	-29.915883530791	0.00134673629007942
2455276.5	-149593748.140021	44291.9387102214	1604.41449035692	-0.413110975943244	-29.9169857002451	0.00154891257949252
2455277.5	-149607079.9319	-2540246.69200449	1745.76687780942	0.104344106865579	-29.9087517246043	0.00171635964832539
2455278.5	-149575748.782133	-5123675.36868202	1899.66823594901	0.620713058243527	-29.8913177980595	0.00183755602864189
2455279.5	-149499858.597108	-7705206.29373622	2061.6670335657	1.1357678677757	-29.8648531794328	0.00190224787318094
2455280.5	-149379531.516725	-10284067.6430194	2226.51751539856	1.64931662110807	-29.8295575666004	0.00190250816670101
2455281.5	-149214904.217604	-12859505.8970356	2388.43778178561	2.16121702736105	-29.785653022773	0.00183409921429067
2455282.5	-149006123.067347	-15430787.1389022	2541.49251839705	2.67138872626919	-29.7333677982873	0.00169793951585184
2455283.5	-148753338.467642	-17997196.5767458	2680.09072987549	3.17981865900446	-29.6729116791423	0.00150119848521513
2455284.5	-148456699.26381	-20558035.7055025	2799.53881379683	3.68655329004347	-29.6044471685257	0.0012573781615135
2455285.5	-148116348.506622	-23112617.1156454	2896.53911477141	4.19167522787196	-29.528065600677	0.000984935750020455
2455286.5	-147732421.759596	-25660257.8175221	2969.50949792564	4.69526914708145	-29.4437780213952	0.000704607359605092
2455287.5	-147305048.422587	-28200272.5997219	3018.6439930629	5.19738812893801	-29.3515250700006	0.000436268671400342
2455288.5	-146834355.529879	-30731968.9264023	3045.72114004009	5.69803148879191	-29.251201308905	0.000196394367009134
2455289.5	-146320472.768604	-33254644.1992108	3053.74514408782	6.19713879648744	-29.1426838042135	-3.21529283198174e-06
2455290.5	-145763537.396197	-35767585.317942	3046.534086328	6.69459724272633	-29.0258555427368	-0.000155435556061789
2455291.5	-145163698.184678	-38270069.8614997	3028.34733053483	7.19025560803957	-28.9006192485508	-0.000257002974141329
2455292.5	-144521118.106685	-40761368.0523832	3003.59848195128	7.68393857063284	-28.766902074714	-0.000307431238804057
2455293.5	-143835975.911918	-43240744.8366234	2976.6589237079	8.17545771298407	-28.6246541562875	-0.00030804519736094
2455294.5	-143108466.942235	-45707461.6932372	2951.73256633803	8.66461811305473	-28.4738442896424	-0.000261313536077168
2455295.5	-142338803.556567	-48160778.0390108	2932.77389694378	9.15122092522925	-28.3144552171838	-0.000170510462803364
2455296.5	-141527215.470053	-50599952.2676068	2923.42259388045	9.63506297673811	-28.1464800701346	-3.96591807607649e-05
2455297.5	-140673950.214839	-53024242.5641071	2926.93361561745	10.1159345513488	-27.9699208263384	0.000126321189307887
2455298.5	-139779273.828326	-55432907.6887339	2946.08905787021	10.5936165362452	-27.7847891713181	0.000321356530823991
2455299.5	-138843471.773172	-57825207.9403416	2983.08638541028	11.0678781055732	-27.5911097662778	0.000537947547158524
2455300.5	-137866849.993073	-60200406.4927917	3039.40672237426	11.5384760725545	-27.3889255019219	0.000766996422662203
2455301.5	-136849735.917668	-62557771.240213	3115.67609462515	12.0051568397787	-27.1783038338194	0.000997832369630913
2455302.5	-135792479.167728	-64896577.1897598	3211.540224839	12.4676614108512	-26.9593428765172	0.00121850767726528
2455303.5	-134695451.700773	-67216109.3173062	3325.57736407593	12.9257332290787	-26.7321757916345	0.00141637882643053
2455304.5	-133559047.189125	-69515665.6842623	3455.27194445953	13.3791279032146	-26.4969722956672	0.00157891915821295
2455305.5	-132383679.523875	-71794560.5388726	3597.06481522322	13.8276234856787	-26.2539367704737	0.00169465959354298
2455306.5	-131169780.452598	-74052127.1122248	3746.48620237037	14.2710300756996	-26.0033031617691	0.00175414605876512
2455307.5	-129917796.445428	-76287719.8540504	3898.36910678074	14.7091979987245	-25.7453272034744	0.00175083473133064
2455308.5	-128628184.928104	-78500715.8960776	4047.13588835671	15.1420242405495	-25.480276338361	0.00168188651347023
2455309.5	-127301410.04695	-80690515.5437539	4187.14801032096	15.5694567404595	-25.2084172632338	0.0015488259107439
2455310.5	-125937938.191305	-82856541.5807383	4313.10388244689	15.9914954509179	-24.9300008994222	0.00135797278079508
2455311.5	-124538233.632716	-84998237.1792194	4420.45788184926	16.4081881987744	-24.6452453706648	0.00112046328351845
2455312.5	-123102754.823669	-87115062.3305261	4505.81502235681	16.8196192858748	-24.3543193413389	0.00085162915200776
2455313.5	-121631952.022165	-89206489.0000257	4567.2386244908	17.2258903484586	-24.0573299596695	0.000569599637625373
2455314.5	-120126266.820855	-91271995.6104693	4604.40706844255	17.6270961527492	-23.7543200350103	0.000293255719011398
2455315.5	-118586133.786168	-93311061.7782115	4618.58099173009	18.0233010724209	-23.445276773562	3.99835256903458e-05
2455316.5	-117011983.864056	-95323164.2493797	4612.38942601532	18.4145226571133	-23.1301501241769	-0.000176173175423955
2455317.5	-115404248.747828	-97307774.6409763	4589.49105086178	18.8007260726584	-22.808875102898	-0.000345507133921785
