aoa[deg],-30,-28,-26,-24,-22,-20,-18,-16,-14,-12,-10,-8,-6,-4,-2,0,2,4,6,8,10,12,14,16,18,20,22,24,26,28,30
cl/cd[-],-5.5,-5.5,-5,-5,-4.5,-4,-3.5,-3,-2,-1,0,0.75,1.75,3.25,4.75,6.25,8,9.5,11.25,12.25,12.75,12.75,12.25,11.75,11,10,8.5,7,5,4,3
Snippet 1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
mass[kg], area[m^2], cd[-], pitch_angle[deg], vel_x[m/s] , vel_y[m/s], prop_speed[rpm], est_wind_x[m/s], est_wind_y[m/s],,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.82,1.62,5729.29,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.85,1.61,5705.11,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.88,1.64,5674.96,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.91,1.68,5627.92,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.94,1.67,5677.27,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.97,1.65,5685.42,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,27.99,1.71,5647.01,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,28.01,1.71,5587.21,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,28.02,1.72,5541.31,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,28.03,1.7,5482.82,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,28.02,1.67,5426.25,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,28.02,1.72,5399.99,2.5,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.35,28,1.73,5360.1,2.6,0.1,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.36,27.99,1.8,5301.96,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.36,27.97,1.84,5268.09,2.5,0.2,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.36,27.95,1.91,5306.96,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
15,0.625,0.13,0.36,27.93,1.87,5291.05,2.5,0.3,,,,,,,,,,,,,,,,,,,,,,,
