X_km,Y_km,Z_km
9.654977481891788542e+07,1.022288569757010490e+08,4.432840163511472940e+07
9.453700852489943802e+07,1.037515330776869208e+08,4.498839189895457029e+07
9.249515690943352878e+07,1.052419236075101048e+08,4.563436989934398979e+07
9.042487323723006248e+07,1.066995522838857174e+08,4.626613217960479856e+07
8.832681878095059097e+07,1.081239597511897832e+08,4.688348318793644756e+07
8.620166174676114321e+07,1.095147035941297561e+08,4.748623520312616229e+07
8.405007609466299415e+07,1.108713585358424932e+08,4.807420834574441612e+07
8.187274003846760094e+07,1.121935167325297743e+08,4.864723062973642349e+07
7.967033404558645189e+07,1.134807879843196422e+08,4.920513795361705124e+07
7.744353822158309817e+07,1.147327995658351630e+08,4.974777386117257923e+07
7.519302914134931564e+07,1.159491952304837257e+08,5.027498883169607818e+07
7.291947656019242108e+07,1.171296328703603297e+08,5.078663885402698815e+07
7.062354091928713024e+07,1.182737805185590088e+08,5.128258318432001770e+07
6.830587284252835810e+07,1.193813109597770423e+08,5.176268150463044643e+07
6.596711555722367018e+07,1.204518959762358516e+08,5.222679106890084594e+07
6.360791028873507679e+07,1.214852017560045719e+08,5.267476462382236123e+07
6.122890355497744679e+07,1.224808868330541998e+08,5.310644975033043325e+07
5.883075454668653756e+07,1.234386030989787728e+08,5.352168981089033931e+07
5.641414085977891833e+07,1.243579993588849157e+08,5.392032614275000989e+07
5.397976166458846629e+07,1.252387261864863783e+08,5.430220080018314719e+07
5.152833842130932957e+07,1.260804407894973606e+08,5.466715916668478400e+07
4.906061391231488436e+07,1.268828110884019285e+08,5.501505204568844289e+07
4.657735044272863120e+07,1.276455188157010078e+08,5.534573717052890360e+07
4.407932776068946719e+07,1.283682618049114645e+08,5.565908026586038619e+07
4.156734091858898103e+07,1.290507556971872300e+08,5.595495581123862416e+07
3.904219813520688564e+07,1.296927352102926522e+08,5.623324759222034365e+07
3.650471869358605891e+07,1.302939550525869429e+08,5.649384907237291336e+07
3.395573090339500457e+07,1.308541905521322638e+08,5.673666360880056769e+07
3.139607012839113921e+07,1.313732380527999550e+08,5.696160453672061861e+07
2.882657687442007661e+07,1.318509150874822289e+08,5.716859514228853583e+07
