X_km,Y_km,Z_km
-6.482981139104923606e+07,2.089294461200841963e+08,9.760807242298160493e+07
-6.676987969157662988e+07,2.085512445689444244e+08,9.748691722083531320e+07
-6.870516567464119196e+07,2.081580196512436271e+08,9.735874206980974972e+07
-7.063553952147217095e+07,2.077498276618853211e+08,9.722356929041601717e+07
-7.256087219514246285e+07,2.073267255965716541e+08,9.708142154565995932e+07
-7.448103544027951360e+07,2.068887711434337497e+08,9.693232183719182014e+07
-7.639590178294572234e+07,2.064360226747348011e+08,9.677629350149452686e+07
-7.830534453025588393e+07,2.059685392387402952e+08,9.661336020614153147e+07
-8.020923777003815770e+07,2.054863805516811609e+08,9.644354594609934092e+07
-8.210745637041176856e+07,2.049896069898393154e+08,9.626687504008404911e+07
-8.399987597936284542e+07,2.044782795817304552e+08,9.608337212696340680e+07
-8.588637302418893576e+07,2.039524600004145503e+08,9.589306216221395135e+07
-8.776682471095587313e+07,2.034122105558929443e+08,9.569597041441950202e+07
-8.964110902398277819e+07,2.028575941875816584e+08,9.549212246180550754e+07
-9.150910472509923577e+07,2.022886744569320381e+08,9.528154418883612752e+07
-9.337069135303565860e+07,2.017055155400913358e+08,9.506426178283335268e+07
-9.522574922269079089e+07,2.011081822206743360e+08,9.484030173064534366e+07
-9.707415942435450852e+07,2.004967398826224208e+08,9.460969081535340846e+07
-9.891580382292780280e+07,1.998712545031318665e+08,9.437245611301243305e+07
-1.007505650570060164e+08,1.992317926456997991e+08,9.412862498944130540e+07
-1.025783265380299240e+08,1.985784214532130659e+08,9.387822509703624249e+07
-1.043989724493145049e+08,1.979112086411469281e+08,9.362128437163086236e+07
-1.062123877450218946e+08,1.972302224908552468e+08,9.335783102939775586e+07
-1.080184581491268724e+08,1.965355318429298997e+08,9.308789356378133595e+07
-1.098170701542766541e+08,1.958272060906732380e+08,9.281150074247986078e+07
-1.116081110206672400e+08,1.951053151736377180e+08,9.252868160445882380e+07
-1.133914687748370320e+08,1.943699295712707639e+08,9.223946545700933039e+07
-1.151670322083589137e+08,1.936211202966803908e+08,9.194388187285964191e+07
-1.169346908766585737e+08,1.928589588904289603e+08,9.164196068730159104e+07
-1.186943350975389630e+08,1.920835174145324230e+08,9.133373199540293217e+07
-1.204458559499038458e+08,1.912948684464612007e+08,9.101922614922462404e+07
-1.221891452723561078e+08,1.904930850732784271e+08,9.069847375509713590e+07
-1.239240956617033035e+08,1.896782408859139085e+08,9.037150567095480859e+07
-1.256506004715575129e+08,1.888504099734805822e+08,9.003835300369158387e+07
-1.273685538108190000e+08,1.880096669177375734e+08,8.969904710657955706e+07
-1.290778505422326773e+08,1.871560867876081765e+08,8.935361957671330869e+07
-1.307783862808286250e+08,1.862897451338456571e+08,8.900210225251820683e+07
-1.324700573924352080e+08,1.854107179837511480e+08,8.864452721128343046e+07
-1.341527609921399504e+08,1.845190818360073864e+08,8.828092676674580574e+07
-1.358263949427980185e+08,1.836149136555739641e+08,8.791133346670261025e+07
-1.374908578534456491e+08,1.826982908687162697e+08,8.753578009068262577e+07
-1.391460490778315067e+08,1.817692913580546677e+08,8.715429964762903750e+07
-1.407918687128171325e+08,1.808279934577662647e+08,8.676692537364938855e+07
-1.424282175968869030e+08,1.798744759488006830e+08,8.637369072977444530e+07
-1.440549973086100817e+08,1.789088180542019010e+08,8.597462939976485074e+07
-1.456721101650548279e+08,1.779310994345312715e+08,8.556977528796361387e+07
-1.472794592203254700e+08,1.769414001832893491e+08,8.515916251715227962e+07
-1.488769482639430761e+08,1.759398008225033581e+08,8.474282542647905648e+07
-1.504644818193501234e+08,1.749263822983121574e+08,8.432079856939090788e+07
-1.520419651423174143e+08,1.739012259766790867e+08,8.389311671162228286e+07
