X_km,Y_km,Z_km
9.654977481891788542e+07,1.022288569757010490e+08,4.432840163511472940e+07
9.440070770070929825e+07,1.039429647550986558e+08,4.516819090563099831e+07
9.222230223863358796e+07,1.056247688852076083e+08,4.599394270177307725e+07
9.001527723531803489e+07,1.072737945959154367e+08,4.680542125535728037e+07
8.778036402149461210e+07,1.088895855143630952e+08,4.760239889976663142e+07
8.551830571103149652e+07,1.104717039905014038e+08,4.838465623807744682e+07
8.322985644298245013e+07,1.120197313904518038e+08,4.915198229677898437e+07
8.091578061265870929e+07,1.135332683572614342e+08,4.990417466484693438e+07
7.857685209374311566e+07,1.150119350387633890e+08,5.064103961798675358e+07
7.621385345384162664e+07,1.164553712828437686e+08,5.136239222812362015e+07
7.382757516362987459e+07,1.178632367977316976e+08,5.206805645704339445e+07
7.141881480560332537e+07,1.192352112823858857e+08,5.275786523635373265e+07
6.898837627971607447e+07,1.205709945213133097e+08,5.343166053124137223e+07
6.653706901099736243e+07,1.218703064480232745e+08,5.408929338981974870e+07
6.406570715991359204e+07,1.231328871761109680e+08,5.473062397758657485e+07
6.157510883750347793e+07,1.243584969986919612e+08,5.535552159726996720e+07
5.906609532708276063e+07,1.255469163567934483e+08,5.596386469429416955e+07
5.653949031425168365e+07,1.266979457774016261e+08,5.655554084814095497e+07
5.399611912686695904e+07,1.278114057819517553e+08,5.713044674992388487e+07
5.143680798656380922e+07,1.288871367661283165e+08,5.768848816653236747e+07
4.886238327333283424e+07,1.299249988519183993e+08,5.822957989173828065e+07
4.627367080456947535e+07,1.309248717129283696e+08,5.875364568469163775e+07
4.367149512992516160e+07,1.318866543740364313e+08,5.926061819626199454e+07
4.105667884319671243e+07,1.328102649865064919e+08,5.975043888370944560e+07
3.843004191239432991e+07,1.336956405797376335e+08,6.022305791419336200e+07
3.579240102903342992e+07,1.345427367908625901e+08,6.067843405764770508e+07
3.314456897759658098e+07,1.353515275734423399e+08,6.111653456956972182e+07
3.048735402601365745e+07,1.361220048865308762e+08,6.153733506428331137e+07
2.782155933791060001e+07,1.368541783654031754e+08,6.194081937925006449e+07
2.514798240727933496e+07,1.375480749752531648e+08,6.232697943100944161e+07
2.246741451612475514e+07,1.382037386491757035e+08,6.269581506333535910e+07
1.978064021555093676e+07,1.388212299117467403e+08,6.304733388819901645e+07
1.708843683065539598e+07,1.394006254895118177e+08,6.338155112012842298e+07
1.439157398951075226e+07,1.399420179096828103e+08,6.369848940455238521e+07
