i1_1,i1_2,i1_3,i1_4,i1_5,i1_6,i1_7,i1_8,i1_9,i1_10,i1_11,i1_12,i1_13,i1_14
3,3,3,3,3,3,3,3,3,3,3,3,3,3
4,4,4,4,4,4,3,4,4,4,4,4,4,3
4,2,3,2,4,3,3,4,3,4,4,4,4,4
4,4,4,4,4,4,3,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,3,4,4,4,4,3
4,4,4,3,4,3,3,3,4,4,3,4,3,3
4,4,4,3,4,3,4,4,4,4,3,4,3,4
4,2,4,2,3,3,2,4,3,4,2,3,3,2
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,3,3,3,4,4,4,4,3,3,3
4,4,4,4,4,4,3,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,4,4,4,4,4,4,4,4
4,3,3,4,4,4,4,4,4,4,4,4,4,4
4,4,4,4,4,4,2,4,4,4,4,4,4,3
3,2,3,3,3,2,3,2,2,3,3,3,2,3
4,4,4,3,4,3,2,4,4,4,3,4,3,3
4,3,3,3,4,3,2,3,3,3,4,2,3,2
3,3,4,3,4,3,3,3,4,4,3,3,3,3
3,3,3,3,3,3,3,3,3,3,3,3,3,2
4,3,3,3,4,3,2,3,3,3,3,4,3,2
4,4,4,3,4,4,3,4,4,4,4,4,4,3
3,3,3,3,3,3,3,3,3,3,3,3,3,3
3,4,3,3,4,4,4,3,4,4,3,4,4,4
4,3,3,3,4,3,3,4,3,4,3,4,4,3
